Player,PlayerIOC,Surface,Matches,EloRank,Elo,EloRankSurface,Wins,Losses,WinPercentage,Titles,PointsWonPercentage,GamesWonPercentage,SetsWonPercentage,DecSets,DecSetWins,DecSetWinPercentage,TieBreaks,TieBreaksWon,TieBreaksWonPercentage,ServiceGamesWonPercentage,ReturnGamesWonPercentage,EloServeRank,EloServe,FirstServePercentage,FirstServeWonPercentage,SecondServeWonPercentage,ServicePointsWonPercentage,Aces,AcePercentage,AcesPerServiceGame,DoubleFaultPercentage,DoubleFaultsPerServiceGame,AcesPerDoubleFault,BreakPointsFacedPerServiceGame,BreakPointsSavedPercentage,EloReturnRank,EloReturn,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,ReturnPointsWonPercentage,AceAgainstPercentage,AcesAgainstPerReturnGame,BreakPointChancesPerReturnGame,BreakPointsConvertedPercentage
Mackenzie Mcdonald,USA,Grass,11,90,1664,46,6,5,0.54545,0,0.4965,0.48872,0.55556,3,1,0.33333,4,4,1,0.76866,0.20455,175,1504,0.60936,0.69098,0.50599,0.61871,55,0.06433,0.41045,0.03392,0.21642,1.89655,0.63433,0.63529,42,1551,0.27203,0.53433,0.37456,0.07935,0.51515,0.67424,0.30337
Mackenzie Mcdonald,USA,Hard,26,90,1664,49,13,13,0.5,0,0.50546,0.51329,0.50794,8,3,0.375,9,2,0.22222,0.77741,0.24917,175,1504,0.64622,0.69231,0.50224,0.62507,103,0.05447,0.34219,0.02961,0.18605,1.83929,0.53821,0.58642,42,1551,0.29617,0.53077,0.38977,0.06547,0.42525,0.57807,0.43103
Harold Mayot,FRA,Hard,7,91,1664,134,4,3,0.57143,0,0.48855,0.46203,0.5,2,2,1,2,2,1,0.70886,0.21519,136,1520,0.63327,0.66949,0.46829,0.59571,36,0.0644,0.4557,0.0322,0.22785,2,0.87342,0.66667,36,1558,0.28391,0.51744,0.36605,0.11656,0.72152,0.49367,0.4359
Thanasi Kokkinakis,AUS,Clay,6,92,1664,117,2,4,0.33333,0,0.49341,0.49261,0.45,3,1,0.33333,4,1,0.25,0.84158,0.14706,21,1624,0.61769,0.75243,0.47843,0.64768,50,0.07496,0.49505,0.02849,0.18812,2.63158,0.52475,0.69811,286,1456,0.2641,0.43534,0.32797,0.06752,0.41176,0.46078,0.31915
Thanasi Kokkinakis,AUS,Hard,22,92,1664,59,9,13,0.40909,0,0.48878,0.47917,0.44068,9,4,0.44444,12,5,0.41667,0.82639,0.13194,21,1624,0.64846,0.73835,0.47813,0.64687,211,0.11188,0.73264,0.03393,0.22222,3.29688,0.47569,0.63504,286,1456,0.23814,0.46424,0.32831,0.07966,0.51389,0.43056,0.30645
Sebastian Ofner,AUT,Clay,21,93,1662,95,8,13,0.38095,0,0.49191,0.4774,0.42105,10,5,0.5,6,2,0.33333,0.69565,0.25993,110,1531,0.54087,0.706,0.46829,0.59686,111,0.06215,0.40217,0.03639,0.23551,1.70769,0.7029,0.56701,157,1506,0.32072,0.49603,0.38413,0.0437,0.27437,0.59928,0.43373
Sebastian Ofner,AUT,Hard,29,93,1662,87,15,14,0.51724,0,0.49705,0.48607,0.5,13,7,0.53846,20,11,0.55,0.81058,0.16156,110,1531,0.5887,0.75554,0.49366,0.64783,239,0.10391,0.66574,0.02826,0.18106,3.67692,0.48468,0.6092,157,1506,0.25766,0.49351,0.34516,0.07622,0.48468,0.4039,0.4
Andy Murray,GBR,Hard,28,94,1661,57,12,16,0.42857,0,0.49906,0.48939,0.48571,13,4,0.30769,17,9,0.52941,0.79887,0.18079,53,1577,0.59872,0.72877,0.49947,0.63675,149,0.06368,0.4221,0.02692,0.17847,2.36508,0.52125,0.61413,84,1527,0.28524,0.50164,0.36663,0.07686,0.52825,0.56215,0.32161
Alex Molcan,SVK,Clay,9,95,1659,50,4,5,0.44444,0,0.4884,0.47442,0.43478,3,2,0.66667,3,2,0.66667,0.66355,0.28704,220,1487,0.66713,0.63561,0.42324,0.56492,24,0.03315,0.2243,0.03039,0.20561,1.09091,0.79439,0.57647,48,1548,0.32494,0.54962,0.40916,0.06009,0.38889,0.65741,0.43662
Facundo Diaz Acosta,ARG,Clay,20,96,1657,63,12,8,0.6,1,0.51715,0.53715,0.6,8,3,0.375,8,4,0.5,0.79325,0.27778,114,1530,0.63469,0.6881,0.54749,0.63673,48,0.03265,0.20253,0.03469,0.21519,0.94118,0.5654,0.63433,55,1543,0.32234,0.53084,0.39797,0.03051,0.19231,0.61111,0.45455
